id,name,terminalName,lat,long,nbBikes,nbEmptyDocks
1,20th & Bell St,31000,38.8561,-77.0512,2,9
2,18th & Eads St.,31001,38.85725,-77.05332,5,6
3,20th & Crystal Dr,31002,38.8564,-77.0492,12,3
4,15th & Crystal Dr,31003,38.86017,-77.049593,10,1
5,Aurora Hills Community Ctr/18th & Hayes St,31004,38.857866,-77.05949,5,6
6,Pentagon City Metro / 12th & S Hayes St,31005,38.862303,-77.059936,9,10
7,S Joyce & Army Navy Dr,31006,38.8637,-77.0633,8,3
8,Crystal City Metro / 18th & Bell St,31007,38.8573,-77.0511,4,14
9,12th & Army Navy Dr,31008,38.8629,-77.0528,2,9
10,27th & Crystal Dr,31009,38.848441,-77.051516,2,17
11,S Glebe & Potomac Ave,31010,38.8426,-77.0502,9,2
12,23rd & Crystal Dr,31011,38.8533,-77.0498,6,11
13,26th & S Clark St,31012,38.850688,-77.05152,4,7
14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,1,12
15,14th & V St NW,31101,38.9176,-77.0321,16,11
16,11th & Kenyon St NW,31102,38.929464,-77.027822,12,14
17,16th & Harvard St NW,31103,38.926088,-77.036536,3,29
18,Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,2,13
19,14th & Harvard St NW,31105,38.9268,-77.0322,6,13
20,Calvert & Biltmore St NW,31106,38.923203,-77.047637,0,23
21,Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,6,12
22,4th & M St SW,31108,38.8767,-77.0178,18,5
23,15th & P St NW,31201,38.90985,-77.034438,19,0
24,14th & R St NW,31202,38.912682,-77.031681,13,0
25,14th & Rhode Island Ave NW,31203,38.9086,-77.0323,15,8
26,20th & E St NW,31204,38.8963,-77.045,6,8
27,21st & I St NW,31205,38.9008,-77.047,25,8
28,Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,8,7
29,14th St & Spring Rd NW,31401,38.9375,-77.0328,6,5
30,John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,8,3
31,5th & K St NW,31600,38.90304,-77.019027,11,4
32,19th & East Capitol St SE,31601,38.8896,-76.9769,13,2
33,Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,8,10
34,Good Hope & Naylor Rd SE,31700,38.8601,-76.9672,2,9
35,Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,11,0
36,Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,6,5
37,Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,6,4
38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,7,4
39,Anacostia Metro,31801,38.862669,-76.994637,4,6
40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,6,5
41,19th & E Street NW,31206,38.8952,-77.0436,0,10
42,4th & W St NE,31500,38.919077,-77.000648,3,11
43,10th & U St NW,31111,38.9172,-77.0259,9,6
44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,6,5
45,1st & N St Â SE,31209,38.8743,-77.0057,7,30
46,20th St & Florida Ave NW,31110,38.9154,-77.0446,0,15
47,7th & T St NW,31109,38.9155,-77.0222,5,10
48,23rd & Eads St,31013,38.853531,-77.053509,14,1
49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,8,7
51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,28,11
52,1st & M St NE,31603,38.9057,-77.0056,2,12
53,21st & M St NW,31212,38.90534,-77.046774,18,1
54,17th & K St NW,31213,38.90276,-77.03863,13,7
55,3rd & H St NW,31604,38.899408,-77.015289,9,6
56,3rd & D St SE,31605,38.8851,-77.0023,4,6
57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,6,9
58,14th & D St SE,31607,38.884,-76.9861,4,10
59,17th & Corcoran St NW,31214,38.9121,-77.0387,16,3
60,Van Ness Metro / UDC,31300,38.944551,-77.063896,7,6
61,Florida Ave & R St NW,31503,38.9126,-77.0135,5,10
62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,6,4
63,Ward Circle / American University,31301,38.938736,-77.087171,6,9
64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,2,16
65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,4,7
66,Anacostia Library,31804,38.865784,-76.9784,6,5
67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,8,3
68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,0,14
69,14th St & New York Ave NW,31216,38.899632,-77.031686,6,15
70,Benning Branch Library,31705,38.894,-76.947974,9,1
71,USDA / 12th & Independence Ave SW,31217,38.887237,-77.028226,14,24
72,Georgetown Harbor / 30th St NW,31215,38.9022212,-77.059219,6,13
73,12th & Newton St NE,31501,38.933668,-76.991016,5,6
74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,0,13
75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,5,9
76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,3,26
77,Kennedy Center,31211,38.895184,-77.054845,8,2
78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,7,11
79,18th & M St NW,31221,38.904742,-77.041606,4,14
80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,11,4
81,13th & H St NE,31611,38.9003,-76.9882,25,1
82,5th & F St NW,31620,38.897222,-77.019347,8,22
83,New York Ave & 15th St NW,31222,38.8991,-77.0337,7,9
84,Convention Center / 7th & M St NW,31223,38.90572,-77.022264,5,14
85,Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,4,9
86,19th & L St NW,31224,38.903407,-77.043648,2,11
87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,10,11
88,6th & Water St SW / SW Waterfront,31609,38.87675,-77.02127,7,12
89,D St & Maryland Ave NE,31612,38.894758,-76.997114,15,8
90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,6,5
91,13th St & New York Ave NW,31227,38.900283,-77.029822,13,8
92,8th & H St NW,31228,38.8997,-77.023086,19,13
93,10th & Monroe St NE,31504,38.932514,-76.992889,1,10
94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,8,3
95,6th & H St NE,31615,38.899972,-76.998347,14,8
96,3rd & H St NE,31616,38.900412,-77.001949,14,4
97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,12,2
98,4th & East Capitol St NE,31618,38.889955,-77.000349,0,11
99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,18,7
100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,3,8
101,13th & D St NE,31622,38.894832,-76.987633,9,21
102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,8,15
103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,23,5
104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,8,13
105,7th & F St NW / National Portrait Gallery,31232,38.897324,-77.022322,9,16
106,17th & K St NW / Farragut Square,31233,38.902061,-77.038322,6,29
107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,15,4
108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,1,14
109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,11,20
110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,13,9
111,11th & H St NE,31614,38.899983,-76.991383,17,0
112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,14,0
113,Columbus Circle / Union Station,31623,38.89696,-77.00493,18,16
114,North Capitol St & F St NW,31624,38.897446,-77.009888,20,2
115,11th & M St NW,31266,38.905607,-77.027137,4,14
116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,6,9
117,14th & G St NW,31238,38.898069,-77.031823,11,10
118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,14,9
124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,4,18
125,11th & F St NW,31262,38.897857,-77.026975,7,7
126,23rd & E St NW,31260,38.896104,-77.049882,0,17
127,Lynn & 19th St North,31014,38.897315,-77.070993,7,19
128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,11,3
129,Clarendon Blvd & Pierce St,31016,38.893648,-77.076701,5,6
130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,5,9
131,N Rhodes & 16th St N,31018,38.892164,-77.079375,2,8
132,Fairfax Village,31706,38.86559,-76.952103,9,6
133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,0,15
134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,5,10
135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,4,15
136,17th & Rhode Island Ave NW,31239,38.906602,-77.038785,9,10
137,Thomas Circle,31241,38.9059,-77.0325,3,27
138,Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,5,6
139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,8,7
140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,4,13
141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,13,12
142,Maryland & Independence Ave SW,31243,38.887299,-77.018939,32,5
143,4th & E St SW,31244,38.88412,-77.017445,6,13
144,3rd & G St SE,31625,38.881185,-77.001828,11,7
145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,3,12
146,9th & Upshur St NW,31404,38.9418,-77.0251,3,11
147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,10,2
148,Columbia Rd & Georgia Ave NW,31115,38.928156,-77.02344,9,10
149,California St & Florida Ave NW,31116,38.917761,-77.04062,11,7
150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,10,9
151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,9,6
152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,8,6
153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,3,16
154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,8,7
155,Congress Heights Metro,31806,38.844711,-76.987823,5,10
156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,9,2
157,Wilson Blvd & N Oakland St,31033,38.8815,-77.10396,2,9
158,N Veitch Â & 20th St N,31029,38.896923,-77.086502,8,7
159,11th & K St NW,31263,38.90268,-77.02674,3,15
160,Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,4,7
161,Key Blvd & N Quinn St,31027,38.896015,-77.078107,4,7
162,1st & K St SE,31628,38.87861,-77.006004,1,14
163,39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,8,10
164,1st & Washington Hospital Center NW,31507,38.928743,-77.012457,5,9
165,Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148,11,7
166,Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783,4,6
167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,5,9
168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,9,10
169,Smithsonian / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,2,19
170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,7,7
171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,5,14
172,N Veitch & Key Blvd,31028,38.893241,-77.086045,4,7
173,N Adams St & Lee Hwy,31030,38.89593,-77.089006,15,8
174,15th & N Scott St,31031,38.89054,-77.08095,4,7
175,Washington Blvd & 7th St N,31032,38.880834,-77.091129,5,6
176,Ballston Metro / N Stuart & 9th St N,31037,38.881044,-77.111768,6,12
177,N Randolph St & Fairfax Dr,31034,38.882629,-77.109366,5,6
178,Jefferson Memorial,31249,38.879819,-77.037413,12,6
179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,6,6
180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,2,9
181,N Quincy St & Wilson Blvd,31039,38.880151,-77.107673,7,7
182,Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,7,4
183,Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,16,3
185,20th & L St NW,31250,38.903584,-77.044789,6,10
186,12th & L St NW,31251,38.903819,-77.0284,0,18
187,21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,2,15
188,19th & K St NW,31253,38.902204,-77.04337,13,8
189,Prince St & Union St,31041,38.803124,-77.040363,10,8
190,Market Square / King St & Royal St,31042,38.804718,-77.043363,5,9
191,Saint Asaph St & Pendleton Â St,31043,38.810743,-77.044664,6,8
192,King St & Patrick St,31044,38.805317,-77.049883,8,7
193,15th & K St NW,31254,38.902,-77.03353,8,19
194,Commerce St & Fayette St,31045,38.805648,-77.05293,13,2
195,Henry St & Pendleton St,31046,38.811456,-77.050276,10,7
196,Braddock Rd Metro,31047,38.814577,-77.052808,6,12
197,King St Metro,31048,38.805767,-77.06072,4,14
198,24th & N St NW,31255,38.9066,-77.05152,9,3
199,10th & E St NW,31256,38.895914,-77.026064,7,7
200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,10,3
201,Utah St & 11th St N,31049,38.883669,-77.113905,8,2
202,Barton St & 10th St N,31050,38.884961,-77.08777,4,7
203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,5,6
204,Lincoln Memorial,31258,38.888251,-77.049426,2,19
206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,5,10
207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,13,4
208,39th & Veazey St NW,31308,38.943837,-77.077078,3,12
209,Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,11,4
210,M St & Delaware Ave NE,31627,38.905707,-77.003041,17,5
211,Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,0,15
212,Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,6,5
213,28th St S & S Meade St,31055,38.846222,-77.069275,4,11
214,18th St & Wyoming Ave NW,31114,38.918809,-77.041571,11,12
215,5th & Kennedy St NW,31403,38.956595,-77.019815,7,8
216,Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,4,15
217,14th & Upshur St NW,31406,38.942016,-77.032652,9,8
218,14th St & Colorado Ave NW,31407,38.956432,-77.032947,6,13
219,S Troy St & 26th St S,31056,38.847977,-77.075104,6,5
220,S Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,9,2
221,S Oakland St & Columbia Pike,31058,38.860789,-77.09586,5,6
222,S Abingdon St & 36th St S,31059,38.835213,-77.094295,5,6
223,S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,11,4
224,S Kenmore & 24th St S,31061,38.848454,-77.084918,5,6
225,13th St & Eastern Ave,32006,38.987,-77.029417,5,10
226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,15,4
227,S George Mason Dr & 13th St S,31062,38.854691,-77.100555,5,6
228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,13,10
229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,18,0
230,15th & Euclid St Â NW,31117,38.92333,-77.0352,2,13
231,8th & East Capitol St NE,31629,38.889988,-76.995193,8,3
232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,11,4
233,15th & East Capitol St NE,31630,38.889908,-76.983326,7,4
234,8th & F St NE,31631,38.897274,-76.994749,14,0
235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,10,5
236,15th & F St NE,31632,38.897195,-76.983575,9,9
237,12th & Irving St NE,31511,38.928644,-76.990955,13,2
238,34th St & Minnesota Ave SE,31709,38.884085,-76.957461,5,6
239,Alabama & MLK Ave SE,31800,38.843222,-76.999388,4,7
