day	hour	count
0	0	472
0	1	361
0	2	296
0	3	209
0	4	82
0	5	61
0	6	90
0	7	271
0	8	606
0	9	1038
0	10	1587
0	11	2182
0	12	2574
0	13	2752
0	14	2878
0	15	2898
0	16	2965
0	17	2654
0	18	2241
0	19	1740
0	20	1367
0	21	942
0	22	656
0	23	444
1	0	388
1	1	142
1	2	69
1	3	45
1	4	39
1	5	46
1	6	145
1	7	369
1	8	698
1	9	666
1	10	866
1	11	1018
1	12	1373
1	13	1304
1	14	1264
1	15	1317
1	16	1329
1	17	1520
1	18	1568
1	19	1474
1	20	1247
1	21	1001
1	22	526
1	23	393
2	0	236
2	1	124
2	2	68
2	3	25
2	4	21
2	5	61
2	6	166
2	7	445
2	8	672
2	9	550
2	10	591
2	11	677
2	12	922
2	13	945
2	14	784
2	15	878
2	16	895
2	17	1174
2	18	1359
2	19	1288
2	20	1107
2	21	852
2	22	626
2	23	377
3	0	185
3	1	84
3	2	63
3	3	14
3	4	7
3	5	30
3	6	161
3	7	368
3	8	625
3	9	542
3	10	456
3	11	695
3	12	882
3	13	881
3	14	781
3	15	723
3	16	772
3	17	1033
3	18	1130
3	19	1227
3	20	993
3	21	704
3	22	499
3	23	352
4	0	171
4	1	103
4	2	65
4	3	44
4	4	20
4	5	44
4	6	153
4	7	382
4	8	637
4	9	521
4	10	561
4	11	704
4	12	966
4	13	1014
4	14	921
4	15	966
4	16	986
4	17	1187
4	18	1269
4	19	1109
4	20	1018
4	21	753
4	22	578
4	23	433
5	0	211
5	1	144
5	2	64
5	3	29
5	4	36
5	5	62
5	6	155
5	7	403
5	8	616
5	9	578
5	10	638
5	11	901
5	12	1254
5	13	1277
5	14	1227
5	15	1195
5	16	1191
5	17	1307
5	18	1315
5	19	1113
5	20	819
5	21	722
5	22	676
5	23	563
6	0	469
6	1	347
6	2	284
6	3	159
6	4	68
6	5	32
6	6	102
6	7	217
6	8	452
6	9	825
6	10	1313
6	11	1539
6	12	2064
6	13	2284
6	14	2553
6	15	2748
6	16	2780
6	17	2495
6	18	2058
6	19	1606
6	20	1365
6	21	964
6	22	832
6	23	634
