day	hour	count
0	0	32703
0	1	22700
0	2	15279
0	3	9704
0	4	6587
0	5	4117
0	6	7541
0	7	15620
0	8	34015
0	9	62982
0	10	96222
0	11	128426
0	12	150840
0	13	163339
0	14	168458
0	15	168119
0	16	169226
0	17	157649
0	18	145566
0	19	118121
0	20	88608
0	21	62558
0	22	49857
0	23	32357
1	0	16726
1	1	7878
1	2	4413
1	3	2610
1	4	3229
1	5	12433
1	6	55532
1	7	112404
1	8	200716
1	9	170034
1	10	93471
1	11	86667
1	12	107304
1	13	113637
1	14	119413
1	15	127850
1	16	158207
1	17	254413
1	18	265942
1	19	186074
1	20	122564
1	21	80315
1	22	56887
1	23	34805
2	0	18131
2	1	8428
2	2	4516
2	3	2465
2	4	3559
2	5	14494
2	6	66201
2	7	134840
2	8	230817
2	9	188503
2	10	100055
2	11	88488
2	12	106330
2	13	109956
2	14	111268
2	15	117590
2	16	149770
2	17	250625
2	18	264835
2	19	183550
2	20	121928
2	21	83924
2	22	59989
2	23	37183
3	0	19613
3	1	9287
3	2	4961
3	3	3084
3	4	3576
3	5	14200
3	6	62567
3	7	123558
3	8	221212
3	9	186331
3	10	98944
3	11	85680
3	12	102244
3	13	108844
3	14	112402
3	15	121207
3	16	149145
3	17	237384
3	18	249646
3	19	177639
3	20	114695
3	21	78529
3	22	58548
3	23	39183
4	0	20215
4	1	9526
4	2	4707
4	3	2716
4	4	3084
4	5	11991
4	6	53603
4	7	110558
4	8	203575
4	9	175689
4	10	92786
4	11	82888
4	12	102548
4	13	109640
4	14	113754
4	15	123270
4	16	153052
4	17	243398
4	18	256496
4	19	182448
4	20	119153
4	21	82140
4	22	62814
4	23	43314
5	0	24908
5	1	13002
5	2	6754
5	3	3949
5	4	4145
5	5	12186
5	6	53491
5	7	111925
5	8	211216
5	9	183101
5	10	103826
5	11	97922
5	12	118457
5	13	128554
5	14	136214
5	15	145475
5	16	179499
5	17	236285
5	18	210680
5	19	144166
5	20	90015
5	21	62571
5	22	51300
5	23	41548
6	0	31462
6	1	21112
6	2	13764
6	3	8846
6	4	5882
6	5	4215
6	6	9675
6	7	21134
6	8	46010
6	9	77939
6	10	104655
6	11	131508
6	12	149559
6	13	160788
6	14	162038
6	15	162408
6	16	158190
6	17	143315
6	18	128401
6	19	108578
6	20	79019
6	21	57877
6	22	49521
6	23	41166
