day	hour	count
0	0	1130
0	1	866
0	2	576
0	3	458
0	4	268
0	5	163
0	6	275
0	7	761
0	8	1515
0	9	2663
0	10	4183
0	11	5593
0	12	6512
0	13	7158
0	14	7910
0	15	8043
0	16	7736
0	17	6982
0	18	5998
0	19	5208
0	20	3743
0	21	2534
0	22	1729
0	23	1104
1	0	650
1	1	391
1	2	249
1	3	144
1	4	99
1	5	156
1	6	625
1	7	1250
1	8	2014
1	9	2000
1	10	2147
1	11	2979
1	12	4041
1	13	4188
1	14	3916
1	15	3922
1	16	4290
1	17	4625
1	18	4704
1	19	4083
1	20	3098
1	21	2131
1	22	1535
1	23	981
2	0	601
2	1	347
2	2	220
2	3	155
2	4	88
2	5	155
2	6	651
2	7	1318
2	8	2037
2	9	1823
2	10	1940
2	11	2459
2	12	3413
2	13	3602
2	14	3303
2	15	3251
2	16	3256
2	17	4049
2	18	3925
2	19	3381
2	20	2593
2	21	1987
2	22	1414
2	23	971
3	0	635
3	1	372
3	2	188
3	3	126
3	4	70
3	5	134
3	6	652
3	7	1216
3	8	2041
3	9	1878
3	10	1868
3	11	2317
3	12	3376
3	13	3433
3	14	3192
3	15	3224
3	16	3241
3	17	3744
3	18	3670
3	19	3219
3	20	2575
3	21	1920
3	22	1499
3	23	992
4	0	541
4	1	356
4	2	218
4	3	135
4	4	95
4	5	156
4	6	578
4	7	1067
4	8	1908
4	9	1740
4	10	1676
4	11	2257
4	12	3320
4	13	3467
4	14	3222
4	15	3299
4	16	3573
4	17	3982
4	18	3930
4	19	3344
4	20	2456
4	21	1808
4	22	1491
4	23	1172
5	0	729
5	1	406
5	2	340
5	3	178
5	4	128
5	5	130
5	6	520
5	7	1088
5	8	2018
5	9	1987
5	10	2223
5	11	2992
5	12	3920
5	13	4151
5	14	4071
5	15	4263
5	16	4600
5	17	4714
5	18	4048
5	19	3163
5	20	2346
5	21	1697
5	22	1486
5	23	1259
6	0	954
6	1	630
6	2	406
6	3	319
6	4	181
6	5	139
6	6	247
6	7	760
6	8	1565
6	9	2769
6	10	3986
6	11	5439
6	12	6339
6	13	7150
6	14	7554
6	15	7771
6	16	7369
6	17	6577
6	18	5536
6	19	4307
6	20	3238
6	21	2212
6	22	1815
6	23	1416
